arm,seed,i,cls,offset,heading,mc,n_base
A,42,4074,two_row,0.12691215059968586,3.2418656661436955,0.056641687590543964,33
A,42,4075,two_row,0.09250410264820796,3.2381065053877887,0.05657586760830775,33
A,42,4076,two_row,0.10560117703929894,3.141422906711633,0.054883179241639816,35
A,42,4077,two_row,0.1180236009007225,2.9273844376354123,0.0511370014006007,36
A,42,4078,two_row,0.1416562186310374,2.397901113817181,0.04187572127213529,34
A,42,4079,two_row,0.14019861895730412,2.4673133154546485,0.0430893793032078,34
A,42,4080,two_row,0.12474762767203218,3.1971511135320405,0.055858802077533944,33
A,42,4081,two_row,0.13766913363891242,2.911804276835098,0.05086436899877776,36
A,42,4082,two_row,0.131745703720202,3.072561334134699,0.05367777680020873,32
A,42,4083,two_row,0.14820791918688725,2.449569964093965,0.042779128550663695,30
A,42,4084,two_row,0.13061186070185837,3.638611089858925,0.06359125411881164,31
A,42,4085,two_row,0.1415108488761908,3.602966571422379,0.06296664880620831,32
A,42,4086,two_row,0.21619449881872643,1.833747129081316,0.03201585724138332,34
A,42,4087,two_row,0.28069471282445047,1.2627193596117092,0.022042179100797393,36
A,42,4088,two_row,0.17311256919686868,2.147350524480132,0.037495894390168,28
A,42,4089,two_row,0.12435861601596276,3.3961743284601043,0.05934394108981271,30
A,42,4090,two_row,0.10475782610192208,3.303718316794885,0.05772475008480308,29
A,42,4091,two_row,0.14843293249507528,1.9236727151169022,0.033587043798577326,32
A,42,4092,two_row,0.140036606596743,2.549294973439167,0.04452297517838742,31
A,42,4093,two_row,0.16162006856236666,2.215985478435705,0.03869553896274142,34
A,42,4094,two_row,0.1731192029905647,2.3325232137650045,0.04073271484325037,34
A,42,4095,two_row,0.17898973316138278,2.1758753379542153,0.037994455602804525,33
A,42,4096,two_row,0.17787027671478417,2.2041452440163014,0.03848858011201105,30
A,42,4097,two_row,0.1755609431524522,2.395374647144982,0.04183154886758098,31
A,42,4098,two_row,0.17893260753821305,2.571293287094314,0.04490768586523175,35
A,42,4099,two_row,0.15585481552437563,3.1501236294526955,0.05503549418725234,35
A,42,4100,two_row,0.13497780102408208,3.397899470353951,0.05937415658631912,33
A,42,4101,two_row,0.14295439370905572,2.9314234835641715,0.05120768064861482,35
A,42,4102,two_row,0.1470999059693079,3.1208055162847166,0.054522261106881346,35
A,42,4103,two_row,0.15068265644740908,2.8578718252567596,0.049920679735476085,34
A,42,4104,two_row,0.17325824481362428,2.3897210062184517,0.04173270195773374,31
A,42,4105,two_row,0.176444699828189,2.430539317592194,0.04244637797853536,37
A,42,4106,two_row,0.16368395171639316,2.3871744457317585,0.04168817876745708,33
A,42,4107,two_row,0.16477984462428585,2.6568085321392454,0.046403319779121995,35
A,42,4108,two_row,0.1394055548925459,3.350356436512966,0.05854148971756779,32
A,42,4109,two_row,0.15319565994310547,3.145140702822149,0.0549482627091587,38
A,42,4110,two_row,0.1552778881877508,3.349311150809112,0.05852318353694493,36
A,42,4111,two_row,0.15287455536168137,2.7413188966211335,0.047881582178061086,34
A,42,4112,two_row,0.1243941220270387,2.8918316623075424,0.050514885436466636,35
A,42,4113,two_row,0.11112116948253803,3.401375958022584,0.05943504686305483,34
A,42,4114,two_row,0.11310496825928862,3.1991003946391565,0.055892929669454514,35
A,42,4115,two_row,0.11166880438744342,3.0757010848419286,0.05373273384197894,37
A,42,4116,two_row,0.13112627535572485,3.0017660004945923,0.05243868651258103,38
A,42,4117,two_row,0.12837331089505877,3.170277981250756,0.05538832627708714,39
A,42,4118,two_row,0.13340261711833656,3.5499408858024117,0.06203756056685952,37
A,42,4119,two_row,0.15315467158121654,3.462497505520149,0.0605056557968599,38
A,42,4120,two_row,0.18351659787095742,3.141430288948076,0.054883308474073,35
A,42,4121,two_row,0.17218844184644722,3.7247805491842243,0.0651014221732682,36
A,42,4122,two_row,0.189389124528493,3.2643254263899393,0.05703495074364118,35
A,42,4123,two_row,0.18619831191764347,3.450002432261617,0.060286780135645736,35
A,42,4124,two_row,0.1821197731728028,3.3443460122006314,0.058436229160679504,34
A,42,4125,two_row,0.19495072379145273,3.0675278259383023,0.0535896727982459,35
A,42,4126,two_row,0.18331350466359997,3.2852560239441595,0.057401454579049285,32
A,42,4127,two_row,0.18638568824142587,3.4306183418770724,0.05994724123938343,37
A,42,4128,two_row,0.18146248977173163,3.745724957423606,0.06546852907711079,35
A,42,4129,two_row,0.21196009704381802,3.014020866735377,0.052653164838698044,32
A,42,4130,two_row,0.1989373921603549,3.5185963517667025,0.06148840836027572,33
A,42,4131,two_row,0.24040795494167272,2.9827353346798016,0.052105631178753775,33
A,42,4132,two_row,0.24363440008279597,2.912092453344798,0.05086941164156467,32
A,42,4133,two_row,0.23398806583805504,3.033713694531221,0.05299782864542797,33
A,42,4134,two_row,0.22197628316942764,3.040681680464839,0.05311978531541908,36
A,42,4135,two_row,0.22166041495547817,2.966799381884195,0.051826745232344706,36
A,42,4136,two_row,0.22282306172891464,3.5202544901856165,0.06151745780380241,31
A,42,4137,two_row,0.21253406851836498,3.3771800737307984,0.05901126785048001,31
A,42,4138,two_row,0.23171501321252597,3.3183618528706873,0.05798118341538545,36
A,42,4139,two_row,0.22537042174697353,3.7067404996270246,0.06478523595115561,34
A,42,4140,two_row,0.24649830408241435,3.527724186943452,0.06164832303159743,33
A,42,4141,two_row,0.2701637029906624,3.4887738023904182,0.06096595543072664,32
A,42,4142,two_row,0.2742871684355702,4.181755112776349,0.07311526647995698,31
A,42,4143,two_row,0.2939252028455318,4.297215538563781,0.07514150510491831,34
A,42,4144,two_row,0.30071983751790266,3.967995888223115,0.06936552537649604,32
A,42,4145,two_row,0.28659586140087734,4.019255601455789,0.0702645368569439,31
A,42,4146,two_row,0.26791952421570875,3.9756530674375834,0.06949981264428709,25
A,42,4147,two_row,0.2506820794504099,4.0300326711689864,0.07045356335416166,27
A,42,4148,two_row,0.2273038081709945,4.279908793618774,0.07483774680484725,25
A,42,4149,two_row,0.2288765972847756,3.4947170564239105,0.06107007098689199,26
A,42,4150,two_row,0.19131005367231313,3.6443083685185056,0.06369109312658963,32
A,42,4151,two_row,0.21867541773004173,3.5925713312261705,0.06278450037904611,28
A,42,4152,two_row,0.23900561198918246,3.2519565940900406,0.056818374314339226,27
A,42,4153,two_row,0.21629277010257741,3.4771790989844003,0.0607628400209695,24
A,42,4154,two_row,0.25521333196371787,3.286967125804712,0.057431417392615855,30
A,42,4155,two_row,0.25622073186679495,2.6646258663067455,0.04654005265366808,26
A,42,4156,two_row,0.23844233340018905,3.0909856027334928,0.05400027305118458,29
A,42,4157,two_row,0.22814365005169568,2.833994029291445,0.04950290368271912,28
A,42,4158,two_row,0.21554883638477595,2.8340990972016282,0.049504741957605874,31
A,42,4159,two_row,0.21298619262897955,3.0821785279113487,0.05384611364641069,27
A,42,4160,two_row,0.2330423609536969,2.8330578769617447,0.049486524716326044,29
A,42,4161,two_row,0.23933452499520114,2.3425536292184583,0.04090807032824914,27
A,42,4162,two_row,0.21144965285252004,3.438936769827822,0.0600929482083603,26
A,42,4163,two_row,0.1731929887521727,3.2884224828721345,0.05745690198350506,28
A,42,4164,two_row,0.2141781862731268,2.6967849709463256,0.04710256539139697,32
A,42,4165,two_row,0.21183612118464312,3.042016034156823,0.05314313992408776,31
A,42,4166,two_row,0.20947102139049212,2.955850999923805,0.05163514855713085,31
A,42,4167,two_row,0.21223495354676525,2.5803632708236255,0.045066307319191076,29
A,42,4168,two_row,0.20889359686802988,2.486784397549863,0.043429849762266846,26
A,42,4169,two_row,0.2041542870016767,2.7318314864211932,0.04771561731561143,28
A,42,4170,two_row,0.21026575450863727,2.7662864296304956,0.04831835603252532,28
A,42,4171,two_row,0.211540366234108,2.878131730923429,0.050275169270340155,31
