arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,3222,none,,,,,,7,0,
A,42,3223,none,,,,,,6,0,
A,42,3224,single_row,,,,,,7,0,
A,42,3225,none,,,,,,7,0,
A,42,3226,single_row,,,,,,9,0,
A,42,3227,none,,,,,,4,0,
A,42,3228,single_row,,,,,,6,0,
A,42,3229,none,,,,,,9,0,
A,42,3230,single_row,,,,,,9,0,
A,42,3231,single_row,,,,,,7,0,
A,42,3232,none,,,,,,5,0,
A,42,3233,none,,,,,,4,0,
A,42,3234,none,,,,,,5,0,
A,42,3235,none,,,,,,5,0,
A,42,3236,none,,,,,,5,0,
A,42,3237,none,,,,,,9,0,
A,42,3238,none,,,,,,7,0,
A,42,3239,none,,,,,,5,0,
A,42,3240,none,,,,,,4,0,
A,42,3241,none,,,,,,9,0,
A,42,3242,single_row,,,,,,9,0,
A,42,3243,none,,,,,,5,0,
A,42,3244,none,,,,,,3,0,
A,42,3245,none,,,,,,2,0,
A,42,3246,none,,,,,,4,0,
A,42,3247,none,,,,,,4,0,
A,42,3248,none,,,,,,4,0,
A,42,3249,none,,,,,,8,0,
A,42,3250,none,,,,,,5,0,
A,42,3251,none,,,,,,7,0,
A,42,3252,none,,,,,,5,0,
A,42,3253,none,,,,,,5,0,
A,42,3254,none,,,,,,4,0,
A,42,3255,none,,,,,,4,0,
A,42,3256,none,,,,,,7,0,
A,42,3257,none,,,,,,3,0,
A,42,3258,none,,,,,,6,0,
A,42,3259,none,,,,,,4,0,
A,42,3260,none,,,,,,5,0,
A,42,3261,none,,,,,,5,0,
A,42,3262,none,,,,,,4,0,
A,42,3263,none,,,,,,3,0,
A,42,3264,none,,,,,,4,0,
A,42,3265,none,,,,,,7,0,
A,42,3266,none,,,,,,7,0,
A,42,3267,none,,,,,,4,0,
A,42,3268,none,,,,,,4,0,
A,42,3269,none,,,,,,6,0,
A,42,3270,none,,,,,,6,0,
A,42,3271,none,,,,,,4,0,
A,42,3272,none,,,,,,10,0,
A,42,3273,none,,,,,,5,0,
A,42,3274,none,,,,,,7,0,
A,42,3275,none,,,,,,9,0,
A,42,3276,none,,,,,,4,0,
A,42,3277,none,,,,,,7,0,
A,42,3278,none,,,,,,4,0,
A,42,3279,none,,,,,,2,0,
A,42,3280,none,,,,,,0,0,
A,42,3281,none,,,,,,1,0,
A,42,3282,none,,,,,,7,0,
A,42,3283,none,,,,,,8,0,
A,42,3284,none,,,,,,5,0,
A,42,3285,none,,,,,,6,0,
A,42,3286,none,,,,,,9,0,
A,42,3287,none,,,,,,9,0,
A,42,3288,none,,,,,,8,0,
A,42,3289,none,,,,,,8,0,
A,42,3290,none,,,,,,8,0,
A,42,3291,none,,,,,,9,0,
A,42,3292,none,,,,,,8,0,
A,42,3293,none,,,,,,8,0,
A,42,3294,none,,,,,,5,0,
A,42,3295,none,,,,,,4,0,
A,42,3296,none,,,,,,3,0,
A,42,3297,none,,,,,,3,0,
A,42,3298,none,,,,,,4,0,
A,42,3299,none,,,,,,7,0,
A,42,3300,none,,,,,,3,0,
A,42,3301,none,,,,,,5,0,
A,42,3302,none,,,,,,5,0,
A,42,3303,none,,,,,,7,0,
A,42,3304,none,,,,,,3,0,
A,42,3305,none,,,,,,6,0,
A,42,3306,none,,,,,,3,0,
A,42,3307,none,,,,,,3,0,
A,42,3308,none,,,,,,4,0,
A,42,3309,none,,,,,,6,0,
A,42,3310,none,,,,,,3,0,
A,42,3311,none,,,,,,3,0,
A,42,3312,none,,,,,,4,0,
A,42,3803,single_row,,,,,,9,0,
A,42,3804,two_row,0.20190438179667192,0.22009888488030938,-0.031244513402088194,0.03892745163609091,0.0038414691170013584,12,0,
A,42,3805,two_row,-0.009058252012909773,1.3564187389032212,-0.052488386281118495,0.09984517981971666,0.023678396769299084,10,0,
A,42,3806,two_row,0.05193085041962631,-2.5357453521643336,-0.10741287757586725,0.018840830813679606,-0.04428602338109382,10,0,
A,42,3807,two_row,0.023736707755461717,-2.5134318610752824,-0.09217331017466708,0.004381665361740291,-0.04389582240646339,12,0,
A,42,3808,two_row,-0.02087082198737722,-2.5526907540156305,-0.10996355280504674,0.02079883205967551,-0.04458236037268562,14,0,
A,42,3809,two_row,-0.09290588491768659,-1.897474440943208,-0.1246771037007645,0.0584185260219245,-0.03312928883942,14,0,
A,42,3810,two_row,-0.09821688916419091,-2.6546168123220113,-0.14771974154474815,0.05498977204138493,-0.04636498475168161,13,0,slope_mismatch
A,42,3811,two_row,-0.14617843183764828,-0.4124878447103439,-0.1182107503847926,0.10381195959390772,-0.00719939539544244,16,0,slope_mismatch
A,42,3812,two_row,-0.10113039139616525,-3.2327139749721656,-0.14900675122640644,0.036043852333807934,-0.05648144944629925,11,0,
A,42,3813,two_row,-0.12373290494347139,-2.0407468374755604,-0.11690628194484737,0.045640639928624174,-0.0356328210081116,11,0,
A,42,3814,two_row,-0.141225921626008,-2.5001174290372052,-0.13016988195368162,0.04284388927569441,-0.04366299633899361,16,0,
A,42,3815,two_row,-0.1507384087569188,-2.745984038484358,-0.17504699988246764,0.07912061737446444,-0.0479631912540016,16,0,slope_mismatch
A,42,3816,two_row,-0.17199808781408676,-2.349133145846093,-0.17324619467068636,0.09120000013245884,-0.04102309726911376,16,0,slope_mismatch
A,42,3817,two_row,-0.21086977013081276,-1.6477793152222138,-0.14062936044882132,0.08309514878784033,-0.028767105830490497,19,0,slope_mismatch
A,42,3818,two_row,-0.22214694724651424,-1.7329707075224454,-0.14569509643959583,0.08518455379056217,-0.03025527132451683,19,0,slope_mismatch
A,42,3819,two_row,-0.20069060559540808,-2.404212222083032,-0.1721901413438457,0.08821801223190448,-0.041986064555970606,18,1,slope_mismatch
A,42,3820,two_row,-0.1437459198847349,-2.9934149332294737,-0.1960751487776829,0.09149008235134361,-0.052292533213169644,16,0,slope_mismatch
A,42,3821,two_row,-0.20163319189294915,-1.8422169007014202,-0.16720865526053139,0.10288098552505696,-0.03216383486773721,16,0,slope_mismatch
A,42,3822,two_row,-0.23369406984674507,-1.0022447681956317,-0.14187018344058228,0.10688167246477552,-0.017494255487903378,17,0,slope_mismatch
A,42,3823,two_row,-0.28214837823881744,-0.39809308842882407,-0.14510478648275982,0.13120849262158993,-0.006948146930584945,21,1,slope_mismatch
A,42,3824,two_row,-0.18214010465805075,-3.300211478535449,-0.18295491812571765,0.06762823716416795,-0.05766334048077485,19,0,slope_mismatch
A,42,3825,two_row,-0.24348049953358436,-2.6980927919509488,-0.1839947809241515,0.0897438972421224,-0.047125441841014554,17,0,slope_mismatch
A,42,3826,two_row,-0.24667002438761731,-3.7989776905726638,-0.16346072441158163,0.030656713699868995,-0.06640200535585632,18,0,
A,42,3827,two_row,-0.24596234078817747,-3.2285777920672407,-0.132106156505052,0.019288097636964506,-0.056409029434043745,17,0,
A,42,3828,two_row,-0.3054034420507466,-1.0370754172408714,-0.14362136199085046,0.10741664681793166,-0.0181023575864594,17,0,slope_mismatch
A,42,3829,single_row,,,,,,19,0,
A,42,3830,single_row,,,,,,18,0,
A,42,3831,two_row,-0.17005066664625657,-4.8289488552635325,-0.28357127228465734,0.11460890556970595,-0.0844811833574757,15,0,slope_mismatch
A,42,3832,two_row,-0.4313798005225482,-0.8039182365898967,-0.16398715516017215,0.13592327320431083,-0.01403194097793066,18,0,slope_mismatch
A,42,3833,two_row,-0.384588701925876,-1.1206999911453335,-0.23069525314785388,0.19157045389145502,-0.01956239962819943,18,0,slope_mismatch
A,42,3834,two_row,-0.31326480714487215,-0.9553068322942699,-0.21439161873831536,0.18104202913562117,-0.016674794801347093,17,0,slope_mismatch
A,42,3835,two_row,-0.3683750268089119,0.6238869801029054,-0.2077300166098597,0.22950864129041545,0.010889312340277874,18,0,slope_mismatch
A,42,3836,two_row,-0.32855174251636043,0.5504762222847476,-0.1733451499596573,0.19256098627720702,0.009607918158774861,20,0,slope_mismatch
A,42,3837,two_row,-0.3763988801986392,1.9156496291846745,-0.19600425167505509,0.26289796612655214,0.03344685722574853,15,0,slope_mismatch
A,42,3838,two_row,-0.30276711618763774,1.3549033034542979,-0.16688032478366835,0.21418419002051736,0.023651932618424507,17,0,slope_mismatch
